date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:52	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%2263fdf678-154%22	https://www.classcentral.com/robots.txt		(from )
12:29:54	665294/665294	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2006:59:54%20GMT	https://www.classcentral.com/	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/index.html	(from )
12:29:55	9463/9463	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Mar%202022%2016:44:05%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/Users/ihtre/OneDrive/Desktop/classCentral/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
12:29:55	2206/2206	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
12:29:55	975/975	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
12:29:55	731/731	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
12:29:56	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%2263fdf678-2a1%22	https://www.classcentral.com/site.webmanifest	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
12:29:56	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263fdf678-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
12:29:56	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%2263fdf678-391%22	https://www.classcentral.com/opensearch.xml	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
12:29:56	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
12:29:57	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
12:29:57	1488/1488	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
12:29:57	5588/5588	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
12:29:58	12520/12520	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
